amount,duration,rate,down_payment,emi,
200000.0, 12, 0.008333, 0.0, 17584
628400.0, 120, 0.010000, 100000.0, 7582
4637400.0, 240, 0.005000, 0.0, 33224
42900.0, 90, 0.005833, 8900.0, 487
916000.0, 16, 0.010833, 0.0, 62664
45230.0, 48, 0.006667, 4300.0, 1000
991360.0, 99, 0.006667, 0.0, 13712
423000.0, 27, 0.007500, 47200.0, 15428
4633400.0, 240, 0.005000, 0.0, 33196
42900.0, 90, 0.006667, 8900.0, 504
983000.0, 16, 0.011667, 0.0, 67707
15230.0, 48, 0.005833, 4300.0, 262
883000.0, 16, 0.011667, 0.0, 60819
100000.0, 12, 0.008333, 0.0, 8792
728400.0, 120, 0.010000, 100000.0, 9016
3637400.0, 240, 0.005000, 0.0, 26060
82900.0, 90, 0.005833, 8900.0, 1060
316000.0, 16, 0.010833, 0.0, 21618
15230.0, 48, 0.006667, 4300.0, 267
991360.0, 99, 0.006667, 0.0, 13712
323000.0, 27, 0.007500, 4720010000.0, -193751447
528400.0, 120, 0.009167, 100000.0, 5902
8633400.0, 240, 0.005000, 0.0, 61853
12900.0, 90, 0.006667, 8900.0, 60
